2016-03-03 20:36:31	Start
2016-03-03 20:36:44	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.045822	9.884064	1.495056	9.996600	-0.046	9.884	1.495	9.997
0.020	0.023209	9.610321	1.623596	9.746531	-0.029	9.816	1.527	9.934
0.040	0.249344	9.427032	1.740234	9.589553	0.045	9.701	1.588	9.832
0.059	0.268387	9.462738	1.614075	9.603160	0.124	9.596	1.618	9.734
0.081	0.275528	9.598419	1.554565	9.727396	0.204	9.525	1.633	9.667
0.101	0.137466	9.629364	1.199890	9.704807	0.233	9.529	1.527	9.656
0.121	0.127945	9.510345	1.199890	9.586594	0.202	9.550	1.392	9.655
0.141	-0.033920	9.486542	1.183228	9.560107	0.127	9.556	1.284	9.645
0.163	-0.136276	9.717438	1.073730	9.777529	0.024	9.586	1.164	9.657
0.185	-0.314804	9.774567	1.345093	9.871703	-0.089	9.622	1.200	9.699
0.202	-0.102951	9.612701	1.614075	9.747813	-0.147	9.648	1.304	9.739
0.222	0.047012	9.310394	1.440308	9.421260	-0.127	9.604	1.368	9.705
0.242	-0.455246	9.241364	1.516479	9.376021	-0.206	9.485	1.479	9.604
0.262	-0.655197	9.250885	1.297485	9.364381	-0.292	9.354	1.467	9.477
0.283	-0.481430	9.312775	1.071350	9.386551	-0.386	9.279	1.331	9.387
0.304	-0.426682	9.679352	1.035645	9.743945	-0.505	9.371	1.230	9.468
0.338	0.149368	9.536530	1.237976	9.617707	-0.353	9.445	1.161	9.528
0.343	0.380264	9.334198	1.047546	9.400489	-0.095	9.466	1.098	9.537
0.374	0.051773	9.591278	0.557190	9.607588	0.039	9.535	0.970	9.592
0.382	-0.488571	9.843597	0.145386	9.856787	0.023	9.576	0.747	9.621
0.402	-0.733749	10.174469	0.088257	10.201275	-0.198	9.736	0.460	9.767
0.422	-0.283859	10.091156	0.145386	10.096194	-0.364	9.925	0.234	9.940
0.442	-0.019638	9.872162	0.469116	9.883321	-0.381	9.995	0.212	10.009
0.462	0.232681	9.465118	0.995178	9.520136	-0.201	9.901	0.424	9.925
0.483	0.118423	9.017609	1.180847	9.095367	0.012	9.612	0.698	9.649
0.504	-0.167221	8.720062	0.719055	8.751256	0.041	9.269	0.841	9.313
0.522	-0.264816	8.962860	-0.047424	8.966897	-0.020	9.041	0.712	9.083
0.542	-0.717087	9.210419	-0.161682	9.239706	-0.258	8.978	0.423	9.013
0.569	-0.967026	9.860260	-0.175964	9.909128	-0.529	9.188	0.083	9.217
0.583	-0.414780	9.693634	-0.002197	9.702504	-0.591	9.432	-0.097	9.455
0.604	-0.526657	9.679352	-0.504456	9.706786	-0.656	9.611	-0.211	9.640
0.624	-0.824203	9.622223	-0.225952	9.660101	-0.683	9.714	-0.227	9.745
0.644	-0.586166	10.107819	0.064453	10.125006	-0.588	9.776	-0.167	9.799
0.663	-0.390976	10.193512	0.673828	10.223238	-0.582	9.901	0.002	9.929
0.684	-0.176743	10.107819	0.797607	10.140780	-0.495	10.008	0.327	10.037
0.704	-0.421921	10.450592	1.078491	10.514563	-0.394	10.215	0.654	10.251
0.724	-0.821823	11.076630	1.073730	11.158854	-0.453	10.457	0.906	10.509
0.744	-1.345505	11.831207	0.759521	11.931669	-0.691	10.867	0.927	10.936
0.765	-2.090561	12.243011	0.454834	12.428541	-1.170	11.400	0.842	11.508
0.785	-2.530930	11.940704	0.333435	12.210536	-1.697	11.773	0.655	11.932
