2016-03-03 20:53:51	Start
2016-03-03 20:53:59	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.210690	8.561666	4.012682	9.457702	-0.211	8.562	4.013	9.458
0.019	-0.162806	8.446744	4.462792	9.554606	-0.199	8.533	4.125	9.482
0.039	-0.239420	8.370130	4.501099	9.506644	-0.206	8.485	4.247	9.494
0.056	-0.268151	8.360553	4.424485	9.462918	-0.220	8.435	4.350	9.495
0.076	-0.248997	8.341399	4.462792	9.463480	-0.230	8.380	4.463	9.497
0.097	-0.248997	8.303091	4.261679	9.336232	-0.251	8.344	4.413	9.442
0.120	-0.411803	8.207323	3.993528	9.136629	-0.294	8.303	4.286	9.350
0.135	-0.421380	8.197746	3.821146	9.054378	-0.333	8.262	4.135	9.248
0.154	-0.565032	8.245630	4.261679	9.299010	-0.412	8.238	4.085	9.207
0.173	-0.555455	8.264784	4.673482	9.510868	-0.488	8.229	4.187	9.250
0.194	-0.584185	8.398860	4.826711	9.704600	-0.532	8.277	4.396	9.392
0.212	-0.603339	8.437167	4.778827	9.715297	-0.577	8.337	4.635	9.557
0.235	-0.488417	8.427590	4.845864	9.733716	-0.558	8.382	4.781	9.666
0.254	-0.354342	8.379706	4.845864	9.686456	-0.508	8.411	4.824	9.710
0.273	-0.363919	8.293514	4.683059	9.531309	-0.453	8.384	4.788	9.667
0.291	-0.373495	8.293514	4.577713	9.480366	-0.395	8.349	4.738	9.608
0.310	-0.383072	8.149862	4.520253	9.327362	-0.369	8.279	4.657	9.506
0.329	-0.440533	8.130709	4.539406	9.322484	-0.390	8.217	4.580	9.415
0.352	-0.268151	8.197746	4.721366	9.463945	-0.366	8.193	4.590	9.399
0.370	-0.095768	8.293514	4.893748	9.630178	-0.297	8.193	4.669	9.436
0.389	-0.047884	8.303091	4.932055	9.657577	-0.213	8.231	4.772	9.519
0.409	-0.047884	8.312668	4.635174	9.517751	-0.115	8.277	4.796	9.567
0.431	-0.239420	8.389283	4.596867	9.569147	-0.108	8.325	4.764	9.594
0.451	-0.344765	8.322245	4.903325	9.665465	-0.170	8.332	4.767	9.602
0.470	-0.287304	8.370130	4.941632	9.724266	-0.230	8.349	4.769	9.619
0.486	-0.239420	8.408437	4.778827	9.674519	-0.278	8.373	4.805	9.658
0.506	-0.143652	8.408437	4.510676	9.542990	-0.254	8.377	4.784	9.652
0.525	-0.134075	8.408437	4.434062	9.506876	-0.201	8.399	4.666	9.612
0.544	-0.258574	8.389283	4.481946	9.514976	-0.194	8.404	4.551	9.560
0.565	-0.383072	8.379706	4.625597	9.579268	-0.230	8.396	4.513	9.536
0.584	-0.354342	8.303091	4.654328	9.525211	-0.283	8.370	4.549	9.532
0.603	-0.402226	8.418014	4.510676	9.558815	-0.350	8.373	4.568	9.545
0.623	-0.421380	8.408437	4.194642	9.406083	-0.390	8.377	4.496	9.517
0.649	-0.785298	8.303091	3.715801	9.130454	-0.491	8.358	4.269	9.405
0.661	-0.957681	8.322245	3.763685	9.183803	-0.642	8.363	4.046	9.320
0.681	-1.043872	8.408437	4.031836	9.383346	-0.802	8.361	3.926	9.276
