2016-03-03 20:56:09	Start
2016-03-03 20:56:23	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-1.130063	8.149862	3.562572	8.966004	-1.130	8.150	3.563	8.966
0.020	-1.101333	8.255207	4.156334	9.307872	-1.123	8.176	3.711	9.051
0.039	-0.986411	8.322245	4.730943	9.623647	-1.087	8.219	4.003	9.216
0.060	-0.641646	8.331821	4.740520	9.607471	-0.965	8.265	4.298	9.376
0.080	-0.545878	8.264784	4.481946	9.417668	-0.819	8.294	4.527	9.489
0.100	-0.574608	8.169016	4.501099	9.344672	-0.687	8.272	4.614	9.498
0.120	-0.536301	8.149862	4.548983	9.348857	-0.575	8.229	4.568	9.430
0.138	-0.670376	8.207323	4.702212	9.482634	-0.582	8.198	4.559	9.398
0.163	-0.756568	8.264784	4.654328	9.515346	-0.634	8.198	4.602	9.423
0.179	-0.928950	8.274361	4.539406	9.483364	-0.723	8.224	4.611	9.458
0.198	-0.928950	8.188169	4.501099	9.389833	-0.821	8.234	4.599	9.468
0.216	-0.756568	8.073248	4.558560	9.302161	-0.843	8.200	4.563	9.423
0.236	-0.708684	8.015787	4.673482	9.305725	-0.831	8.138	4.568	9.370
0.254	-0.718261	8.054094	4.807557	9.407282	-0.778	8.083	4.635	9.351
0.276	-0.852336	8.121132	4.922479	9.534677	-0.759	8.066	4.741	9.387
0.294	-0.948104	8.149862	4.893748	9.553425	-0.807	8.085	4.824	9.450
0.314	-0.928950	8.178593	4.797980	9.527483	-0.862	8.126	4.855	9.506
0.333	-0.861913	8.245630	4.663905	9.512377	-0.898	8.174	4.820	9.532
0.353	-0.737414	8.264784	4.596867	9.485864	-0.869	8.210	4.738	9.520
0.371	-0.584185	8.149862	4.577713	9.365735	-0.778	8.210	4.659	9.473
0.392	-0.450110	8.159439	4.481946	9.320240	-0.658	8.205	4.580	9.421
0.412	-0.459687	8.121132	4.376601	9.236814	-0.558	8.174	4.508	9.352
0.431	-0.507571	8.063671	4.290410	9.148116	-0.500	8.124	4.432	9.268
0.450	-0.421380	8.044518	4.347870	9.154005	-0.460	8.097	4.374	9.215
0.469	-0.354342	7.958326	4.252102	9.029999	-0.436	8.047	4.317	9.142
0.490	-0.402226	7.939173	4.204218	8.992647	-0.421	8.001	4.274	9.081
0.510	-0.440533	7.987057	4.290410	9.077156	-0.405	7.982	4.274	9.063
0.530	-0.565032	8.063671	4.376601	9.192208	-0.441	7.987	4.281	9.073
0.549	-0.526724	8.101978	4.548983	9.306596	-0.484	8.023	4.355	9.142
0.567	-0.459687	8.159439	4.606444	9.381209	-0.498	8.078	4.456	9.239
0.586	-0.459687	8.245630	4.711789	9.508033	-0.503	8.143	4.561	9.347
0.607	-0.536301	8.293514	4.673482	9.534749	-0.496	8.200	4.635	9.433
0.626	-0.450110	8.370130	4.663905	9.592376	-0.476	8.267	4.664	9.504
0.647	-0.210690	8.398860	4.673482	9.613879	-0.414	8.327	4.681	9.562
0.667	-0.095768	8.485051	4.817134	9.757563	-0.323	8.387	4.707	9.625
0.687	-0.153229	8.667010	5.123591	10.069346	-0.227	8.480	4.820	9.758
0.704	-0.239420	8.781932	5.497087	10.363282	-0.175	8.583	5.028	9.951
0.723	-0.067038	9.299079	5.688623	10.901275	-0.139	8.808	5.282	10.273
0.743	0.114922	9.710882	5.353435	11.089351	-0.086	9.115	5.416	10.606
0.763	-0.134075	9.710882	5.324705	11.075725	-0.081	9.376	5.466	10.857
0.783	-0.287304	9.749189	5.707777	11.300794	-0.093	9.618	5.519	11.092
0.801	-0.335188	9.730036	6.253655	11.571264	-0.160	9.725	5.660	11.259
0.821	-0.239420	9.500193	6.435614	11.477287	-0.249	9.673	5.930	11.356
0.841	-0.191536	8.925584	6.847417	11.251216	-0.263	9.476	6.311	11.400
0.861	-0.067038	8.408437	7.996634	11.603984	-0.208	9.141	6.883	11.476
0.880	0.229843	8.216900	9.519346	12.577290	-0.067	8.763	7.700	11.727
0.900	0.976834	8.274361	9.720459	12.802600	0.237	8.456	8.521	12.059
0.926	0.986411	7.661446	7.259220	10.600331	0.532	8.140	8.624	11.896
0.942	0.938527	7.383718	6.483498	9.870961	0.783	7.884	8.246	11.463
0.958	1.110910	6.962338	5.315128	8.829432	1.003	7.570	7.195	10.526
0.978	1.158794	6.655881	4.778827	8.275309	1.049	7.166	5.959	9.394
0.998	0.928950	6.560112	4.893748	8.236917	1.034	6.891	5.368	8.803
1.017	0.718261	6.435614	5.181053	8.293150	0.979	6.653	5.042	8.409
1.036	0.421380	6.550536	5.075707	8.297583	0.807	6.551	4.982	8.276
1.059	0.095768	6.703765	4.663905	8.167107	0.541	6.563	4.954	8.249
1.076	-0.086191	6.713342	4.175488	7.906395	0.287	6.601	4.774	8.166
1.095	-0.067038	6.684611	3.888184	7.733466	0.091	6.663	4.451	8.026
1.114	0.057461	6.694188	3.706224	7.651899	-0.000	6.699	4.108	7.865
1.135	0.210690	6.789956	3.763685	7.766159	0.029	6.721	3.883	7.764
1.153	0.258574	6.924031	3.620033	7.817526	0.115	6.773	3.745	7.742
1.175	0.047884	6.952762	3.351882	7.718698	0.144	6.840	3.610	7.739
1.192	-0.143652	6.914454	3.141193	7.595881	0.093	6.895	3.469	7.725
1.212	-0.287304	7.000646	3.332729	7.758780	-0.031	6.948	3.361	7.723
1.232	-0.248997	7.220912	3.782839	8.155577	-0.158	7.022	3.402	7.807
1.251	-0.134075	7.431602	4.031836	8.455908	-0.204	7.142	3.572	7.992
1.270	-0.181959	7.766790	4.060566	8.766090	-0.213	7.355	3.802	8.284
1.292	-0.354342	8.197746	4.022259	9.138225	-0.230	7.654	3.974	8.629
1.310	-0.421380	8.695741	3.936068	9.554376	-0.273	8.023	4.013	8.979
1.330	-0.536301	8.935161	3.821146	9.732722	-0.373	8.399	3.960	9.298
1.349	-0.641646	9.078813	4.060566	9.966180	-0.488	8.727	3.960	9.598
1.368	-0.737414	9.203311	4.491522	10.267351	-0.584	8.978	4.077	9.880
1.388	-0.718261	9.519346	5.181053	10.861729	-0.658	9.184	4.389	10.207
1.409	-0.574608	10.103531	5.688623	11.609132	-0.668	9.476	4.855	10.676
1.429	-0.976834	10.735600	5.698200	12.193310	-0.752	9.890	5.265	11.233
1.448	-1.762132	10.438720	5.956774	12.147228	-1.008	10.199	5.631	11.703
1.467	-2.193089	10.457873	6.521805	12.518414	-1.377	10.434	5.966	12.117
1.486	-2.422932	10.285490	7.508216	12.962840	-1.839	10.479	6.421	12.455
1.506	-2.595315	9.662998	8.667010	13.237306	-2.243	10.211	7.163	12.716
1.526	-2.461239	8.992621	9.739613	13.482767	-2.418	9.850	8.109	13.050
1.545	-2.039860	8.446744	10.026917	13.268292	-2.380	9.347	8.985	13.238
1.566	-1.321599	7.958326	8.341399	11.604332	-2.105	8.765	9.194	12.898
1.583	-1.264138	7.287950	6.598420	9.912185	-1.772	8.171	8.677	12.067
1.602	-1.455675	6.991069	5.209783	8.839450	-1.520	7.671	7.544	10.906
1.622	-1.417367	6.722919	4.663905	8.304130	-1.365	7.240	6.203	9.665
1.642	-1.149217	6.493075	4.587290	8.032681	-1.322	6.874	5.265	8.772
1.661	-0.871489	6.301539	4.625597	7.865433	-1.223	6.627	4.772	8.260
1.682	-0.641646	6.119579	4.635174	7.703622	-1.020	6.409	4.628	7.976
1.700	-0.488417	5.985504	4.357447	7.419714	-0.788	6.225	4.551	7.755
1.725	-0.258574	5.956774	3.945644	7.149694	-0.565	6.091	4.391	7.535
1.741	-0.153229	5.975927	3.754108	7.058932	-0.385	6.009	4.173	7.333
1.760	-0.076614	6.052542	3.763685	7.127725	-0.244	5.993	3.955	7.189
1.778	-0.019154	6.244078	3.916914	7.370963	-0.127	6.057	3.845	7.177
1.799	-0.076614	6.493075	3.715801	7.481515	-0.081	6.191	3.788	7.260
1.817	-0.258574	6.579266	3.351882	7.388418	-0.108	6.342	3.687	7.342
1.843	-0.344765	6.694188	3.303998	7.473113	-0.175	6.503	3.572	7.428
1.861	-0.430956	6.991069	3.581726	7.866990	-0.278	6.689	3.488	7.553
1.880	-0.632069	7.316680	3.945644	8.336752	-0.417	6.895	3.546	7.766
1.896	-0.718261	7.546524	4.089296	8.613261	-0.532	7.137	3.730	8.073
1.915	-0.699107	7.881712	4.290410	9.000986	-0.620	7.434	3.977	8.454
1.934	-0.469264	8.264784	4.165911	9.267237	-0.630	7.752	4.123	8.805
1.958	-0.335188	8.437167	3.859453	9.284047	-0.555	8.033	4.101	9.041
1.974	-0.363919	8.609550	3.581726	9.331963	-0.467	8.298	3.974	9.221
1.995	-0.593762	8.858546	3.888184	9.692490	-0.441	8.543	3.874	9.394
2.014	-0.756568	9.184157	4.769250	10.376265	-0.512	8.772	4.025	9.671
2.033	-0.909797	9.567230	5.573701	11.109715	-0.656	9.055	4.453	10.128
2.053	-0.900220	10.093954	5.889736	11.721233	-0.790	9.426	5.030	10.725
2.074	-0.708684	10.352529	5.535394	11.760853	-0.819	9.799	5.442	11.242
2.092	-0.536301	10.237606	5.200206	11.495144	-0.764	10.063	5.550	11.522
2.111	-0.248997	9.979033	6.311116	11.809880	-0.599	10.166	5.734	11.697
2.131	-0.009577	9.701305	8.868123	13.143783	-0.376	10.068	6.479	12.052
2.151	0.105345	9.385271	11.722012	15.016656	-0.172	9.826	8.025	12.866
2.170	0.938527	9.299079	12.957419	15.976496	0.196	9.591	9.965	13.987
2.190	1.235408	8.791509	11.003751	14.138578	0.567	9.294	11.138	14.569
2.209	0.785298	7.872135	8.370130	11.517216	0.766	8.837	11.013	14.162
2.230	0.861913	7.527370	6.291962	9.848501	0.955	8.373	9.656	12.870
2.248	1.101333	7.201759	5.382165	9.057923	0.996	7.848	7.762	11.141
2.273	0.948104	6.751649	5.372589	8.680344	0.924	7.338	6.354	9.776
2.292	0.794875	6.426037	5.822699	8.708020	0.927	6.977	5.717	9.074
2.313	0.670376	6.157887	5.928043	8.573837	0.879	6.634	5.626	8.755
2.330	0.421380	5.880159	5.133168	7.816857	0.709	6.304	5.564	8.445
2.349	-0.296881	5.832275	4.299986	7.252135	0.397	6.074	5.296	8.088
2.363	-0.814029	5.880159	3.888184	7.096259	-0.005	5.938	4.812	7.685
2.384	-0.919373	5.755661	3.552995	6.826174	-0.402	5.837	4.219	7.248
2.403	-0.919373	5.813122	3.351882	6.772942	-0.737	5.820	3.773	6.987
2.424	-0.756568	6.148310	3.275268	7.007246	-0.852	5.899	3.517	6.926
2.442	-0.689530	6.426037	3.160346	7.194248	-0.821	6.036	3.335	6.950
2.462	-0.622492	6.550536	2.930503	7.203115	-0.747	6.234	3.180	7.044
2.481	-0.718261	6.799533	3.122039	7.516427	-0.697	6.481	3.122	7.230
2.506	-0.603339	7.230489	3.648763	8.121420	-0.658	6.752	3.215	7.509
2.524	-0.459687	7.690176	4.022259	8.690724	-0.601	7.068	3.431	7.883
2.547	-0.325611	8.169016	3.936068	9.073669	-0.527	7.472	3.682	8.351
2.564	-0.363919	8.628703	3.888184	9.471269	-0.438	7.930	3.874	8.839
2.578	-0.545878	8.906430	3.897760	9.737300	-0.424	8.349	3.936	9.243
2.599	-0.823605	9.107543	4.156334	10.044938	-0.515	8.703	3.970	9.582
2.622	-1.005565	9.366117	4.673482	10.515548	-0.685	9.002	4.154	9.942
2.641	-1.110910	9.567230	5.420473	11.052038	-0.871	9.237	4.537	10.337
2.662	-1.053449	10.026917	5.995081	11.729868	-0.998	9.517	5.061	10.836
2.680	-1.005565	10.362105	5.918467	11.975502	-1.044	9.831	5.502	11.318
2.700	-1.225831	10.333375	5.544971	11.791014	-1.099	10.072	5.720	11.637
2.719	-1.647211	10.477027	5.650316	12.016966	-1.233	10.300	5.777	11.878
2.739	-1.848324	9.969456	6.828263	12.224219	-1.432	10.285	5.986	12.002
2.758	-1.905785	9.318233	8.695741	12.887102	-1.657	10.025	6.680	12.230
2.778	-1.628057	8.992621	10.649409	14.033094	-1.757	9.689	7.956	12.790
2.796	-0.948104	8.877700	10.697293	13.933576	-1.583	9.290	9.218	13.269
