2016-03-03 21:02:12	Start
2016-03-03 21:02:19	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.957681	8.446744	2.815581	8.955006	-0.958	8.447	2.816	8.955
0.021	-0.967257	8.312668	2.882619	8.851301	-0.960	8.413	2.832	8.929
0.040	-0.814029	8.408437	3.782839	9.256043	-0.924	8.404	3.074	9.004
0.061	-0.775721	8.446744	4.443638	9.575758	-0.879	8.404	3.481	9.160
0.080	-0.593762	8.542512	4.730943	9.783092	-0.788	8.428	3.960	9.367
0.101	-0.287304	8.609550	4.845864	9.883789	-0.618	8.502	4.451	9.625
0.121	0.000000	8.599973	4.683059	9.792373	-0.414	8.550	4.676	9.759
0.139	0.248997	8.523358	4.702212	9.737578	-0.158	8.569	4.741	9.799
0.159	0.469264	8.398860	4.577713	9.576874	0.108	8.533	4.702	9.748
0.180	0.335188	8.312668	4.309563	9.369372	0.263	8.459	4.568	9.619
0.198	0.009577	8.197746	4.165911	9.195539	0.266	8.358	4.439	9.470
0.218	-0.258574	8.293514	3.974375	9.200266	0.139	8.301	4.257	9.336
0.239	-0.335188	8.216900	4.022259	9.154690	-0.062	8.255	4.118	9.230
0.257	-0.191536	8.092402	4.261679	9.147981	-0.194	8.200	4.106	9.175
0.277	-0.354342	7.958326	4.807557	9.304468	-0.285	8.140	4.266	9.202
0.294	-0.565032	8.149862	4.970363	9.562637	-0.362	8.104	4.515	9.292
0.314	-0.603339	8.456321	4.845864	9.765028	-0.429	8.164	4.721	9.445
0.332	-0.344765	8.571242	4.443638	9.660796	-0.467	8.284	4.767	9.573
0.352	-0.095768	8.532935	4.472369	9.634430	-0.402	8.428	4.683	9.656
0.372	-0.392649	8.485051	4.156334	9.456500	-0.359	8.511	4.480	9.629
0.392	-0.536301	8.437167	3.734955	9.242472	-0.342	8.507	4.202	9.499
0.413	-0.660800	8.418014	3.466804	9.127888	-0.421	8.468	3.958	9.365
0.431	-0.316035	8.619126	3.371036	9.260297	-0.476	8.490	3.682	9.272
0.449	-0.038307	8.772355	3.591303	9.479089	-0.388	8.562	3.541	9.277
0.470	0.134075	8.791509	3.907337	9.621636	-0.220	8.650	3.584	9.372
0.489	0.086191	8.686164	4.108450	9.609174	-0.034	8.717	3.745	9.493
0.512	-0.210690	8.695741	3.897760	9.531675	-0.007	8.736	3.876	9.560
0.529	-0.057461	8.638280	3.476381	9.311735	-0.012	8.703	3.847	9.519
0.548	0.306458	8.532935	3.083732	9.078232	0.031	8.638	3.642	9.383
0.568	0.373495	8.398860	2.825158	8.869152	0.103	8.566	3.321	9.198
0.587	0.047884	8.264784	2.700660	8.694971	0.168	8.459	3.021	8.989
0.605	-0.296881	8.236053	2.738967	8.684621	0.108	8.358	2.837	8.832
0.639	-0.191536	8.322245	2.901772	8.815709	-0.017	8.305	2.792	8.766
0.646	0.028730	8.427590	3.074155	8.970816	-0.103	8.313	2.854	8.792
0.665	0.000000	8.465898	3.303998	9.087785	-0.115	8.363	3.005	8.890
0.684	0.038307	8.465898	3.744531	9.257127	-0.031	8.420	3.256	9.033
0.703	0.181959	8.590396	3.811569	9.399791	0.062	8.487	3.484	9.179
0.724	0.210690	8.801085	3.677494	9.540831	0.108	8.581	3.634	9.321
0.744	0.105345	8.906430	3.514688	9.575418	0.134	8.691	3.687	9.443
0.763	0.172383	8.925584	3.303998	9.519042	0.168	8.806	3.577	9.509
0.782	0.114922	9.126697	3.371036	9.730040	0.151	8.940	3.467	9.591
0.801	-0.019154	9.279925	3.648763	9.971502	0.093	9.060	3.460	9.699
0.821	0.009577	9.490616	4.031836	10.311527	0.069	9.206	3.589	9.883
0.841	0.124498	9.749189	4.156334	10.598930	0.057	9.412	3.802	10.153
0.861	0.028730	10.074800	3.964798	10.826913	0.036	9.649	3.950	10.427
0.880	-0.134075	10.304645	3.916914	11.024785	0.007	9.905	4.017	10.691
0.901	-0.268151	10.122684	4.424485	11.050643	-0.062	10.063	4.116	10.875
0.919	-0.316035	10.046070	5.602432	11.506982	-0.172	10.137	4.477	11.102
0.938	-0.354342	10.218452	6.598420	12.168873	-0.268	10.173	5.136	11.438
0.959	-0.469264	9.921572	7.220912	12.280039	-0.352	10.077	5.962	11.752
0.978	-0.430956	9.433155	7.230489	11.893280	-0.393	9.905	6.663	11.962
0.997	-0.373495	9.145850	7.259220	11.682566	-0.407	9.680	7.077	12.006
1.018	-0.469264	8.695741	7.795521	11.687868	-0.436	9.299	7.377	11.886
1.036	-0.392649	8.092402	7.766790	11.223376	-0.417	8.842	7.513	11.622
1.060	-0.373495	7.805098	6.406884	10.104811	-0.402	8.435	7.307	11.175
1.076	-0.507571	7.728483	5.008670	9.223549	-0.436	8.080	6.744	10.560
1.095	-0.670376	7.584831	4.328717	8.758816	-0.486	7.803	5.878	9.828
1.115	-0.622492	7.220912	4.031836	8.293658	-0.543	7.585	4.944	9.095
1.135	-0.622492	6.885724	3.888184	7.932129	-0.606	7.355	4.314	8.552
1.153	-0.421380	6.684611	4.194642	7.902949	-0.584	7.094	4.111	8.222
1.176	-0.019154	6.684611	4.692636	8.167327	-0.421	6.869	4.202	8.074
1.193	-0.057461	6.665458	4.884171	8.263580	-0.280	6.730	4.415	8.066
1.212	-0.363919	6.751649	4.797980	8.290827	-0.215	6.697	4.642	8.156
1.232	-0.421380	6.722919	4.424485	8.059234	-0.215	6.706	4.700	8.195
1.251	-0.459687	6.646304	3.859453	7.699354	-0.326	6.697	4.492	8.078
1.270	-0.603339	6.598420	3.227384	7.370154	-0.462	6.680	4.077	7.855
1.292	-0.689530	6.722919	2.806004	7.317564	-0.543	6.673	3.579	7.612
1.310	-0.689530	6.799533	2.911349	7.428664	-0.611	6.692	3.201	7.454
1.329	-0.354342	6.981492	3.217807	7.695523	-0.584	6.776	3.041	7.453
1.349	-0.248997	7.278373	3.399766	8.037110	-0.496	6.946	3.084	7.620
1.368	-0.354342	7.642292	3.476381	8.403298	-0.412	7.175	3.251	7.891
1.388	-0.383072	7.987057	3.639187	8.785414	-0.335	7.472	3.433	8.230
1.409	-0.153229	8.350976	4.242526	9.368100	-0.285	7.815	3.689	8.648
1.426	0.172383	8.695741	5.056554	10.060535	-0.180	8.169	4.104	9.154
1.446	0.574608	9.078813	5.372589	10.565023	0.053	8.528	4.578	9.695
1.467	0.651223	9.471462	5.525817	10.984869	0.311	8.899	5.049	10.245
1.486	0.603339	9.911995	6.071695	11.639465	0.500	9.290	5.507	10.812
1.505	0.210690	10.160992	6.636727	12.138216	0.510	9.656	5.902	11.332
1.526	0.009577	10.400413	6.780379	12.415402	0.369	9.986	6.254	11.794
1.543	0.095768	10.333375	6.129156	12.014756	0.230	10.202	6.404	12.052
1.564	0.373495	9.854534	5.477933	11.280917	0.172	10.187	6.256	11.962
1.584	0.229843	9.662998	5.161899	10.957717	0.177	10.063	5.887	11.667
1.602	0.038307	9.097966	5.477933	10.619897	0.184	9.737	5.562	11.218
1.622	0.316035	8.580819	8.101978	11.805608	0.239	9.299	6.055	11.166
1.642	1.292869	8.465898	10.342952	13.428313	0.469	8.952	7.271	11.703
1.661	1.350330	8.121132	10.074800	13.010679	0.749	8.566	8.499	12.216
1.682	0.593762	7.939173	8.034941	11.311202	0.888	8.277	9.139	12.389
1.700	0.038307	7.335834	5.995081	9.474013	0.819	7.966	8.612	11.806
1.725	-0.019154	6.742072	5.487510	8.693024	0.491	7.535	7.398	10.622
1.740	0.210690	6.320693	5.937620	8.674726	0.206	7.084	6.364	9.538
1.759	0.785298	6.110003	6.138733	8.696716	0.254	6.627	5.890	8.885
1.778	1.120486	5.880159	5.717354	8.277675	0.524	6.263	5.820	8.586
1.800	0.967257	6.042965	5.027823	7.920355	0.771	6.088	5.705	8.392
1.818	0.430956	6.138733	4.213795	7.458273	0.826	6.043	5.274	8.088
1.841	-0.038307	6.081272	3.581726	7.057769	0.620	6.036	4.635	7.679
1.860	-0.095768	6.023811	3.447650	6.941309	0.316	6.072	4.068	7.344
1.877	-0.019154	6.119579	3.198653	6.905143	0.069	6.091	3.610	7.091
1.896	-0.191536	6.368577	3.045424	7.061874	-0.086	6.148	3.318	6.992
1.915	-0.450110	6.646304	3.236961	7.406340	-0.189	6.290	3.232	7.079
1.934	-0.593762	6.991069	3.533842	7.855930	-0.314	6.531	3.254	7.307
1.957	-0.775721	7.441179	3.869030	8.422724	-0.503	6.862	3.421	7.687
1.974	-0.679953	7.967903	4.242526	9.052560	-0.625	7.262	3.721	8.184
1.993	-0.248997	8.379706	4.644751	9.584112	-0.575	7.695	4.073	8.729
2.014	0.143652	8.714894	4.635174	9.871923	-0.390	8.126	4.348	9.233
2.034	0.095768	9.030929	4.960786	10.304186	-0.172	8.523	4.621	9.703
2.051	0.335188	9.346964	5.688623	10.947078	0.081	8.868	4.982	10.177
2.073	0.632069	9.414001	5.966351	11.163345	0.302	9.127	5.313	10.572
2.091	0.497994	9.481039	5.679047	11.062987	0.390	9.318	5.574	10.869
2.110	0.306458	9.749189	5.391742	11.145021	0.443	9.498	5.681	11.080
2.130	-0.191536	10.026917	4.778827	11.109137	0.311	9.668	5.454	11.120
2.149	-0.507571	10.256760	4.481946	11.204757	0.026	9.878	5.083	11.130
2.170	-0.536301	10.103531	5.267244	11.406701	-0.232	10.034	4.980	11.216
2.191	-0.296881	9.691729	6.512228	11.680190	-0.383	10.020	5.260	11.350
2.209	0.153229	9.184157	8.504205	12.517736	-0.297	9.809	6.191	11.702
2.229	0.296881	8.657434	10.400413	13.535430	-0.096	9.409	7.671	12.285
2.248	0.047884	8.303091	10.237606	13.181510	0.050	8.959	8.914	12.729
2.267	-0.411803	7.910442	7.747637	11.080187	0.022	8.514	9.222	12.579
2.287	-0.976834	7.584831	5.612009	9.485700	-0.261	8.114	8.499	11.821
2.307	-0.938527	7.163452	4.836287	8.693995	-0.570	7.740	7.108	10.610
2.325	-0.545878	6.799533	4.893748	8.395261	-0.718	7.365	5.772	9.414
2.346	-0.162806	6.435614	5.276821	8.323969	-0.656	6.996	5.155	8.725
2.365	0.038307	6.148310	5.066131	7.966735	-0.402	6.637	5.018	8.345
2.384	0.028730	5.947197	4.539406	7.481723	-0.160	6.333	4.944	8.042
2.403	0.047884	5.889736	3.907337	7.068138	-0.012	6.105	4.697	7.710
2.422	0.076614	6.071695	3.974375	7.257204	0.048	6.014	4.372	7.443
2.442	0.287304	6.215348	3.964798	7.377853	0.110	6.031	4.096	7.296
2.462	0.296881	6.205771	3.754108	7.258999	0.177	6.096	3.900	7.241
2.481	0.210690	6.253655	3.572149	7.205057	0.218	6.187	3.816	7.275
2.506	0.047884	6.483498	3.466804	7.352331	0.211	6.290	3.689	7.299
2.526	0.019154	6.847417	3.543418	7.709948	0.144	6.448	3.584	7.382
