2016-03-03 20:58:15	Start
2016-03-03 20:58:27	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.350510	5.523224	8.360046	10.025928	-0.351	5.523	8.360	10.026
0.022	-0.276718	5.549408	7.850647	9.617960	-0.332	5.530	8.233	9.924
0.041	-0.357651	5.558929	7.657837	9.469534	-0.334	5.539	8.057	9.785
0.061	-0.448105	5.620819	7.641174	9.496418	-0.358	5.563	7.877	9.652
0.081	-0.557602	5.725555	7.864929	9.744230	-0.410	5.614	7.754	9.582
0.101	-0.352890	5.875519	7.714966	9.703965	-0.429	5.695	7.720	9.604
0.121	-0.181503	5.730316	7.600708	9.520516	-0.385	5.738	7.705	9.616
0.141	-0.174362	5.735077	7.422180	9.381379	-0.317	5.767	7.651	9.588
0.162	-0.243393	5.677948	7.810181	9.659050	-0.238	5.755	7.637	9.566
0.182	-0.069626	5.768402	7.567383	9.515492	-0.167	5.728	7.600	9.519
0.202	-0.171982	5.882660	7.893494	9.845938	-0.165	5.766	7.673	9.600
0.222	-0.138657	5.806488	7.667358	9.618883	-0.156	5.784	7.735	9.660
0.242	0.049393	6.023102	7.555481	9.662582	-0.083	5.870	7.671	9.661
0.262	0.075577	5.770782	7.603088	9.545396	-0.046	5.871	7.680	9.668
0.282	-0.007736	5.789825	7.598328	9.552838	-0.005	5.848	7.606	9.595
0.302	-0.188644	5.751740	7.603088	9.535463	-0.018	5.834	7.590	9.574
0.322	-0.107712	5.923126	7.807800	9.800856	-0.057	5.809	7.653	9.609
0.343	-0.098190	5.846954	7.748291	9.707344	-0.101	5.828	7.689	9.649
0.362	-0.110092	5.751740	7.567383	9.505783	-0.126	5.818	7.682	9.637
0.384	0.277908	6.294464	7.886353	10.094160	-0.010	5.954	7.752	9.777
0.403	-0.778976	6.154022	7.600708	9.810686	-0.177	6.012	7.701	9.779
0.423	-0.195786	5.304230	8.110107	9.692628	-0.202	5.876	7.791	9.776
0.444	-0.050583	5.542267	7.386475	9.234679	-0.187	5.824	7.746	9.708
0.463	-0.307663	5.189972	5.751160	7.752825	-0.333	5.548	7.212	9.123
0.483	-0.640915	5.080475	5.567871	7.564601	-0.299	5.279	6.704	8.561
0.504	-0.943222	4.882904	6.681885	8.329466	-0.486	5.174	6.347	8.220
0.524	-1.321701	4.980499	7.648315	9.222201	-0.803	5.033	6.412	8.217
0.544	-1.559738	6.039764	7.312683	9.611809	-1.116	5.246	6.803	8.682
0.564	-1.114609	6.175446	7.600708	9.856432	-1.235	5.520	7.311	9.255
0.584	-0.443344	6.296844	8.274353	10.407292	-1.110	5.873	7.709	9.774
0.606	0.313614	6.046906	8.490967	10.428803	-0.701	6.140	7.920	10.076
0.625	1.234818	5.758881	8.345764	10.214757	-0.002	6.070	8.178	10.227
0.645	1.618057	5.732697	8.312439	10.226366	0.681	5.959	8.356	10.319
0.665	1.432388	5.873138	8.286255	10.257071	1.150	5.853	8.359	10.282
0.685	0.830154	6.018341	8.224365	10.224958	1.279	5.846	8.292	10.231
0.705	0.101761	6.113556	7.779236	9.894566	0.996	5.934	8.151	10.151
0.725	-0.450485	6.092133	7.603088	9.753152	0.478	6.024	7.973	10.032
0.746	-0.788498	6.023102	7.738770	9.838091	-0.077	6.062	7.836	9.928
0.767	-1.026535	5.932648	7.969666	9.988276	-0.541	6.040	7.773	9.869
0.786	-1.062241	5.956451	8.179138	10.173788	-0.832	6.001	7.873	9.938
0.807	-1.036057	5.877899	8.312439	10.233267	-0.978	5.948	8.050	10.058
0.826	-0.819443	5.911224	8.498108	10.384214	-0.986	5.920	8.240	10.195
0.847	-0.602829	6.035004	8.659973	10.572597	-0.880	5.945	8.412	10.341
0.867	-0.533798	6.204010	9.078918	11.009152	-0.748	6.007	8.637	10.550
0.887	-0.559982	6.282562	9.914429	11.750747	-0.629	6.108	9.038	10.929
0.907	-0.674240	6.025482	11.706848	13.183752	-0.593	6.137	9.840	11.629
0.927	-0.512375	5.627960	12.366211	13.596310	-0.570	6.035	10.767	12.385
0.947	-0.264816	5.316132	11.585449	12.749667	-0.503	5.813	11.393	12.820
0.967	-0.169601	4.671051	11.528320	12.439842	-0.405	5.410	11.797	12.992
0.987	0.070816	4.444916	10.754700	11.637262	-0.219	5.015	11.559	12.606
1.012	0.244583	4.042633	9.214600	10.065364	-0.030	4.619	10.771	11.723
1.027	0.565933	4.175934	7.707825	8.784604	0.178	4.334	9.801	10.732
1.048	0.794449	4.373505	7.491211	8.710736	0.419	4.259	8.792	9.799
1.068	0.889664	4.325897	7.417419	8.632671	0.624	4.229	7.958	9.048
1.089	1.125320	4.294952	7.357910	8.593707	0.844	4.293	7.494	8.680
1.112	1.042007	4.149750	7.774475	8.874044	0.963	4.286	7.510	8.703
1.129	0.587357	3.830780	8.126770	9.003569	0.911	4.150	7.669	8.776
1.148	0.430252	3.607025	8.133911	8.908213	0.796	3.971	7.848	8.845
1.168	0.280289	3.587982	7.395996	8.225141	0.585	3.794	7.858	8.753
1.188	0.051773	3.668915	6.686646	7.627243	0.337	3.674	7.586	8.441
1.216	-0.264816	3.947418	6.439087	7.557386	0.124	3.703	7.164	8.079
1.235	-0.400497	4.175934	6.648560	7.861436	-0.083	3.845	6.793	7.818
1.256	-0.360031	4.380646	6.796143	8.093654	-0.243	4.043	6.643	7.785
1.272	-0.207687	4.385406	6.950867	8.221282	-0.308	4.222	6.709	7.933
1.301	0.120804	4.449677	6.969910	8.270058	-0.212	4.348	6.841	8.112
1.321	0.251724	4.537750	7.305542	8.603807	-0.049	4.438	7.006	8.297
1.337	0.377884	4.797211	7.795898	9.161444	0.136	4.543	7.256	8.564
1.350	0.523087	4.897186	7.826843	9.247461	0.318	4.670	7.475	8.821
1.372	0.589737	5.056671	7.948242	9.438870	0.436	4.822	7.719	9.113
1.392	0.534988	5.332794	8.119629	9.728992	0.506	5.021	7.923	9.394
1.421	0.432632	5.644623	8.662354	10.348203	0.520	5.233	8.139	9.691
1.443	0.082718	6.018341	9.224121	11.014158	0.410	5.513	8.489	10.133
1.451	-0.360031	5.973114	10.361938	11.965679	0.173	5.742	9.092	10.764
1.472	-0.595688	6.023102	11.080811	12.626043	-0.110	5.915	9.832	11.489
1.495	-0.733749	5.682709	11.521179	12.867367	-0.402	5.924	10.547	12.118
1.517	-0.700424	4.994781	11.487854	12.546283	-0.597	5.668	11.113	12.501
1.544	-0.767075	4.513947	10.959412	11.877408	-0.699	5.304	11.262	12.479
1.552	-0.652817	3.878387	9.981079	10.728001	-0.714	4.767	10.987	12.005
1.573	-0.709946	3.687958	8.400513	9.201830	-0.708	4.269	10.207	11.088
1.591	-0.457626	4.235443	7.476929	8.605397	-0.647	4.079	9.204	10.103
1.614	-0.824203	4.704376	8.150574	9.446816	-0.661	4.127	8.502	9.496
1.632	-1.269333	4.947174	8.867065	10.232819	-0.815	4.394	8.224	9.372
1.657	-1.562119	4.859100	8.902771	10.262086	-1.028	4.687	8.349	9.637
1.672	-1.657333	4.473480	9.000366	10.186529	-1.328	4.746	8.730	10.032
1.692	-1.543076	3.954559	8.952759	9.908154	-1.508	4.559	8.931	10.147
1.712	-1.050339	3.690338	8.102966	8.965482	-1.453	4.244	8.740	9.831
1.735	-0.521896	3.483246	7.481689	8.269284	-1.193	3.900	8.384	9.332
1.752	-0.245773	3.609406	6.650940	7.571209	-0.840	3.684	7.797	8.679
1.773	-0.164841	4.073578	6.143921	7.373532	-0.496	3.714	7.095	8.045
1.792	-0.179123	4.159271	6.084412	7.372360	-0.278	3.831	6.590	7.647
1.816	-0.121994	4.225922	6.241516	7.538555	-0.178	4.017	6.280	7.464
1.833	-0.264816	4.275909	6.420044	7.718193	-0.183	4.184	6.222	7.501
1.854	-0.455246	4.390167	6.491455	7.849828	-0.255	4.263	6.309	7.620
1.873	-0.757553	4.411591	7.112732	8.403985	-0.400	4.326	6.566	7.878
1.894	-1.031296	4.663910	7.905396	9.236390	-0.627	4.435	6.982	8.302
1.913	-1.062241	4.918610	8.195801	9.617288	-0.827	4.596	7.426	8.777
1.934	-1.052719	5.120941	8.072021	9.617161	-0.976	4.779	7.821	9.219
1.954	-0.786118	5.104279	8.433838	9.889452	-0.983	4.952	8.152	9.590
1.974	-0.286240	5.468475	8.245789	9.898444	-0.797	5.153	8.237	9.756
1.994	-0.064865	5.994537	9.017029	10.827996	-0.547	5.422	8.442	10.058
2.022	0.082718	5.977875	9.912048	11.575428	-0.264	5.636	8.902	10.548
2.038	0.180313	5.939789	11.271240	12.741839	-0.022	5.845	9.612	11.261
2.061	-0.098190	6.368256	12.142456	13.711439	0.025	6.070	10.586	12.214
2.075	-0.907516	5.663666	12.566162	13.813368	-0.186	5.987	11.473	12.961
2.095	-1.200302	4.799591	12.018677	12.997130	-0.506	5.693	12.000	13.316
2.115	-0.498093	3.890289	9.890625	10.639874	-0.676	5.180	11.654	12.790
2.135	0.799210	4.309235	7.812561	8.957921	-0.452	4.666	10.572	11.602
2.158	1.622818	4.901947	7.822083	9.372705	0.181	4.475	9.386	10.492
2.178	2.027481	5.618439	8.414795	10.319221	0.988	4.680	8.485	9.822
2.195	2.217911	5.320892	8.659973	10.403180	1.667	5.038	8.177	9.763
2.221	2.115555	4.920990	8.862305	10.355296	1.996	5.191	8.440	10.113
2.242	1.641861	4.202118	8.800415	9.889429	2.001	5.016	8.684	10.242
2.264	1.037247	3.528473	8.767090	9.507253	1.753	4.493	8.772	10.039
2.276	0.394547	3.309479	8.038696	8.702238	1.297	3.990	8.617	9.614
2.296	-0.119614	3.514191	7.400757	8.193598	0.739	3.639	8.252	9.073
2.316	-0.471909	3.880768	7.395996	8.365633	0.210	3.558	7.901	8.692
2.337	-0.412399	4.092621	7.479309	8.535788	-0.152	3.699	7.579	8.449
2.364	-0.102951	4.059296	7.238892	8.300002	-0.277	3.887	7.379	8.349
