X Axis,Y Axis,Z Axis,Acceleration,Time
0.031013265,0.020132981,1.0585442,1.0591897448034635,1970
0.11895445,-0.015274897,0.87821674,0.8863679637336468,2170
0.063782275,-0.07498248,0.7025738,0.7094366979445755,2369
0.019644544,0.002776578,0.5306778,0.5310485401758807,2570
-0.015665635,0.19050895,0.45592308,0.4943732516984855,2770
0.018848762,0.026882038,0.2705946,0.2725790854623262,2970
-0.047683544,-0.072638206,0.40476322,0.41398465126490547,3170
-0.0067655593,-0.058110565,0.29242897,0.298223594580607,3370
-0.0054124445,-0.015107177,0.17118073,0.17193127382813478,3570
0.027051315,-0.012085743,0.07418251,0.07988043550718242,3770
0.02164106,-0.041049875,0.12210846,0.13062888100895534,3970
0.017312855,-0.0014586225,0.09768677,0.0992197898374721,4170
-0.08029355,0.061595663,0.015386581,0.10236125698027805,4369
-0.06423484,-0.044867307,0.012309074,0.07931394968688202,4570
-0.11415043,0.058249995,0.041228294,0.13462226263555546,4770
0.09696734,-0.016162567,0.09574509,0.1372261441314253,4971
0.046192586,-0.012930058,0.045214653,0.0659189365457203,5169
0.005572796,0.021037228,0.004790306,0.022283806718189032,5370
0.0044582337,0.016829781,-0.027549744,0.03258996408477573,5571
0.034947857,-0.049298733,0.0721035,0.09407779884440233,5769
-0.034804262,-0.039438985,0.12044525,0.13142993718046295,5970
0.06630044,-0.03155119,0.033593178,0.08074482899161999,6170
0.05304034,0.03752161,-0.03588772,0.07422315747575797,6369
0.042432263,-0.15827039,0.0026712418,0.1638815029015766,6570
0.44190243,-0.22076015,0.033517838,0.49511235703137824,6770
0.5418096,-0.30213323,0.15233898,0.638787378721713,6969
0.46482903,-0.6496632,0.09048939,0.8039381741931138,7170
0.37186325,-0.45696807,0.44896698,0.7407249495911474,7370
-0.14184734,-0.051761627,0.32779217,0.36089837576457584,7570
-0.3959094,0.24102221,-0.2084856,0.5082344063141284,7772
-0.31672752,0.443868,-0.38645744,0.6683446038652233,7970
-0.15923817,0.7002885,-0.2464037,0.7592598376448513,8170
0.09227845,0.811281,0.14807034,0.8298294951633683,8370
-0.08308366,1.3707943,-0.28949928,1.4034919819590925,8570
0.12182075,1.379067,-0.54541206,1.4879987153129774,8770
0.5054132,1.5112103,-0.75014305,1.7612250539232674,8971
0.15328032,1.3658745,-0.8825455,1.6333996752805306,9170
0.31091195,1.0926996,-0.54913044,1.2618252263448413,9369
0.3114921,0.46620297,-0.06272888,0.564187432822108,9570
-0.3156693,-0.34880698,0.57744217,0.7448173509628508,9769
-0.66049206,-0.6870022,0.7130041,1.1902086586297675,9970
-0.6225375,-1.3027526,0.19382763,1.4568068917096273,10170
-0.43526745,-1.136346,0.62578106,1.3683354381370076,10370
-0.19130757,-1.0659832,0.18681145,1.099007368877028,10569
-0.18442735,-0.8214053,0.4005003,0.9322663770829427,10770
-0.273067,-0.68850553,0.32039928,0.8070075283644785,10969
-0.15569103,-0.64494824,0.13079357,0.6762431996862086,11170
0.063734844,-0.57872117,0.041872025,0.5837238968398089,11370
-0.0117746815,-0.46297696,-0.12340832,0.47928688020241533,11569
-0.072182305,-0.307619,-0.1928711,0.37018779795716955,11770
