X Axis,Y Axis,Z Axis,Acceleration,Time
-0.1205084,-0.24609521,-0.31120396,0.41464807381885765,11969
-0.50436336,-0.22825745,-0.02929306,0.5543842830117276,12170
0.035847217,-0.21398726,-0.0861969,0.23346408415584366,12369
0.1542029,-0.35947746,-0.1944828,0.4368365059076019,12570
-0.22183175,-0.28758198,-0.061442375,0.3683583685334292,12770
0.010822259,-0.23006558,0.23327732,0.32781946625776104,12970
0.008657806,-0.027146071,0.029715538,0.04116891983364072,13170
0.35212034,-0.14724201,0.14929771,0.4098277093131197,13369
0.093408585,-0.11779362,0.18220043,0.2362149337952838,13570
0.10610815,0.06267151,0.020235062,0.12488441040286363,13769
0.2731742,0.14428106,-0.10933685,0.32771285603638467,13970
0.43820834,0.24094996,-0.24437523,0.5565992373422544,14170
-0.1515338,0.19275996,-0.038594246,0.2482104175326006,14371
0.22396705,0.21697052,-0.030875206,0.313353992873397,14570
0.21055493,0.2049577,0.0694437,0.30193286743905823,14770
-0.019843742,0.13258487,-0.038588524,0.1395048256679478,14969
0.20379397,0.16883045,0.09465408,0.28106067165978693,15170
0.28856027,-0.021842033,0.012960434,0.2896758222849605,15370
0.6701861,-0.017473623,0.010368347,0.6704940132212354,15569
0.4420051,-0.045360178,-0.21137428,0.49204182361181736,15770
0.41636658,0.089236975,0.050569534,0.42881422601665764,15970
-0.23176977,0.32243982,-0.08506966,0.4061052908290432,16169
0.03425312,0.3520957,-0.25634384,0.43687163936976003,16370
-0.7257482,0.43858296,0.14011955,0.8594759448326295,16569
0.67465264,0.19395997,0.11209583,0.7108741983590621,16771
0.35143435,-0.06450097,0.05829525,0.36202873146784686,16970
1.442255,-0.30265102,0.23492336,1.492275455139513,17169
0.24374688,-0.05383314,-0.09449291,0.26690720584949684,17370
0.47742903,-0.011685234,-0.0755949,0.4835179653163478,17570
0.13089287,-0.10349203,-0.09185696,0.19047635802548282,17770
0.88924646,-0.39660642,0.397233,1.0515940192431599,17970
2.5628927,-0.56833535,0.2236433,2.6346613790533673,18170
2.9917524,-0.015330389,-0.51147366,3.0351972540364893,18370
2.5816898,0.7095051,-0.9112797,2.82824158823372,18570
1.0297699,1.5090425,-1.9215126,2.65138571154901,18770
0.22757149,2.431104,-1.9451661,3.121814630209197,18970
-1.8263445,2.4156022,-0.80298233,3.1329616596738505,19170
-2.8104706,1.4617627,0.11076546,3.1698207874362376,19370
-2.0914702,0.4476409,0.84176254,2.298519972742024,19569
-1.6104137,-0.64608824,0.83031654,1.9236132196750706,19770
-0.31551135,-1.1131148,0.66425323,1.3340930810650424,19969
-0.22102785,-1.2984487,0.8138342,1.5482727055473133,20169
0.26251578,-1.1329027,3.0674267,3.2804709826736866,20370
-0.44899428,-1.1887538,0.53968334,1.3805758388844929,20570
-1.3947775,-0.605809,-0.35278416,1.561046305578733,20770
-0.92753434,-0.4532659,-0.156703,1.0441866275516336,20970
-0.58512104,-0.36261272,-0.1253624,0.6996930181533594,21169
-0.53085935,-0.16456509,-0.037528038,0.5570472971783603,21370
-0.5815939,-0.2571772,-0.09278488,0.6426512146169815,21569
-0.40251252,-0.20574176,-0.13699055,0.47234775785057564,21770
-0.25924742,-0.070449576,-0.10959244,0.2901428499347576,21970
