2016-03-03 20:31:06	Start
2016-03-03 20:31:15	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	0.363919	9.500193	1.149217	9.576367	0.364	9.500	1.149	9.576
0.021	0.287304	9.481039	1.283292	9.571806	0.345	9.495	1.183	9.575
0.040	0.258574	9.481039	1.043872	9.541836	0.318	9.491	1.156	9.567
0.058	0.258574	9.433155	1.043872	9.494259	0.292	9.474	1.130	9.546
0.079	0.335188	9.414001	1.082179	9.481924	0.285	9.452	1.113	9.522
0.098	0.392649	9.433155	1.149217	9.511009	0.311	9.440	1.080	9.507
0.122	0.421380	9.471462	1.187524	9.554913	0.352	9.438	1.116	9.511
0.139	0.392649	9.452309	1.187524	9.534701	0.385	9.443	1.152	9.521
0.157	0.344765	9.528923	1.273715	9.619854	0.388	9.471	1.199	9.555
0.177	0.344765	9.605537	1.216254	9.688369	0.376	9.515	1.216	9.599
0.196	0.354342	9.548077	1.149217	9.623514	0.359	9.534	1.207	9.617
0.218	0.325611	9.423578	1.177947	9.502495	0.342	9.527	1.204	9.609
0.236	0.229843	9.356541	1.340753	9.454908	0.314	9.483	1.221	9.567
0.255	0.248997	9.318233	1.254562	9.405604	0.290	9.412	1.231	9.497
0.275	0.172383	9.232041	1.216254	9.313409	0.244	9.333	1.247	9.419
0.294	0.076614	9.193734	1.264138	9.280553	0.182	9.275	1.269	9.364
0.313	0.229843	9.222465	1.340753	9.322247	0.182	9.242	1.269	9.330
0.334	0.373495	9.308656	1.465251	9.430670	0.213	9.239	1.322	9.337
0.353	0.421380	9.356541	1.493982	9.484429	0.275	9.270	1.391	9.379
0.372	0.277727	9.337387	1.532289	9.466353	0.326	9.306	1.458	9.426
0.393	-0.009577	9.260772	1.532289	9.386687	0.266	9.316	1.506	9.442
0.424	-0.440533	9.069236	1.417367	9.189888	0.062	9.256	1.494	9.382
0.430	-0.411803	9.069236	1.388637	9.184167	-0.146	9.184	1.468	9.307
0.453	-0.383072	9.117120	1.388637	9.230218	-0.311	9.129	1.432	9.248
0.473	-0.316035	9.260772	1.522712	9.390443	-0.388	9.129	1.429	9.249
0.489	-0.335188	9.452309	1.637634	9.598976	-0.362	9.225	1.484	9.351
0.509	-0.392649	9.615114	1.704672	9.772948	-0.357	9.361	1.563	9.498
0.528	-0.373495	9.797073	1.608904	9.935326	-0.354	9.531	1.618	9.674
0.547	-0.248997	10.007763	1.628057	10.142381	-0.338	9.718	1.645	9.862
0.568	-0.191536	9.998186	1.944092	10.187242	-0.302	9.855	1.721	10.009
0.587	-0.172383	9.844957	1.848324	10.018443	-0.247	9.912	1.757	10.071
0.605	-0.268151	9.452309	1.742979	9.615405	-0.220	9.826	1.791	9.991
0.627	-0.287304	9.232041	1.886631	9.427222	-0.230	9.632	1.856	9.812
0.647	-0.287304	9.040505	1.934515	9.249628	-0.254	9.392	1.853	9.578
0.674	-0.248997	8.973468	1.972822	9.191145	-0.273	9.175	1.884	9.371
0.688	-0.191536	9.030929	1.972822	9.245885	-0.254	9.069	1.942	9.278
0.707	-0.191536	9.069236	2.059013	9.302003	-0.230	9.029	1.985	9.247
