2016-03-03 21:11:45	Start
2016-03-03 21:11:59	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.119614	9.593658	0.231079	9.597186	-0.120	9.594	0.231	9.597
0.019	-0.241013	9.591278	0.826172	9.629811	-0.150	9.593	0.380	9.605
0.038	-0.257675	9.736481	-0.102173	9.740426	-0.184	9.629	0.297	9.641
0.058	-0.121994	9.674591	0.466736	9.686611	-0.185	9.649	0.355	9.664
0.078	-0.010117	9.598419	0.966614	9.646973	-0.158	9.650	0.539	9.676
0.100	-0.241013	9.636505	0.276306	9.643478	-0.158	9.661	0.402	9.679
0.122	-0.329086	9.707916	0.109680	9.714112	-0.176	9.654	0.455	9.673
0.140	-0.238632	9.693634	0.226318	9.699212	-0.205	9.659	0.395	9.676
0.160	-0.067245	9.676971	0.447693	9.687556	-0.219	9.679	0.265	9.686
0.186	0.011307	9.705536	0.759521	9.735216	-0.156	9.696	0.386	9.709
0.201	-0.136276	9.662689	0.262024	9.667202	-0.108	9.685	0.424	9.697
0.220	-0.221970	9.603180	0.326294	9.611285	-0.104	9.662	0.449	9.675
0.244	-0.188644	9.672211	0.204895	9.676220	-0.134	9.661	0.388	9.672
0.262	0.001785	9.826935	0.621460	9.846566	-0.136	9.691	0.354	9.700
0.283	-0.150558	9.484161	-1.287598	9.572350	-0.140	9.647	-0.034	9.677
0.305	-0.067245	9.719818	2.421021	10.017022	-0.101	9.676	0.490	9.778
0.327	0.130325	9.415131	0.140625	9.417082	-0.021	9.612	0.474	9.713
0.342	0.108902	9.127106	0.295349	9.132533	0.005	9.437	0.392	9.535
0.369	0.237442	9.372284	0.235840	9.378257	0.102	9.409	0.773	9.486
0.381	0.296951	9.493683	-0.123596	9.499130	0.193	9.352	0.137	9.357
0.404	0.006546	9.410370	1.466492	9.523954	0.162	9.351	0.469	9.383
0.426	0.044632	9.155670	-1.299500	9.247539	0.146	9.358	0.070	9.412
0.444	0.039871	9.429413	-0.721069	9.457027	0.097	9.372	-0.169	9.432
0.463	0.463577	9.622223	0.050171	9.633514	0.139	9.404	-0.126	9.466
0.490	0.446915	10.026886	0.695251	10.060892	0.249	9.559	-0.319	9.600
0.511	0.270767	10.224457	0.100159	10.228532	0.305	9.826	0.031	9.845
0.523	-0.157700	10.186371	-0.268799	10.191137	0.256	10.015	0.144	10.029
0.542	-0.072006	9.900726	-0.080750	9.901318	0.122	10.085	0.111	10.095
0.563	-0.112473	9.757904	0.100159	9.759066	-0.018	10.017	-0.037	10.020
0.582	0.004166	9.569855	-0.040283	9.569941	-0.085	9.854	-0.072	9.855
0.602	-0.098190	9.465118	0.095398	9.466108	-0.070	9.673	0.019	9.674
0.622	-0.288620	9.443695	-0.435425	9.458133	-0.124	9.559	-0.070	9.563
0.642	-0.693283	9.643646	-1.028137	9.723046	-0.269	9.531	-0.352	9.554
0.663	-0.329086	9.412750	-0.713928	9.445521	-0.352	9.491	-0.521	9.523
0.683	-0.112473	9.486542	-1.151917	9.556884	-0.356	9.497	-0.832	9.546
0.703	-0.224350	9.893585	-1.040039	9.950630	-0.340	9.609	-0.984	9.669
0.725	-0.188644	10.386322	-0.818665	10.420244	-0.214	9.795	-0.931	9.843
0.743	-0.026779	10.712433	-1.104309	10.769235	-0.138	10.120	-1.029	10.174
0.763	0.216019	10.633881	-0.590149	10.652434	-0.056	10.407	-0.888	10.448
0.784	0.432632	10.193512	-0.259277	10.205983	0.108	10.482	-0.693	10.512
0.804	0.220779	9.493683	-0.535400	9.511331	0.211	10.258	-0.622	10.285
0.824	-0.355270	9.050934	-0.697266	9.084701	0.129	9.843	-0.521	9.864
0.860	-0.514755	8.639130	-0.754395	8.687269	-0.054	9.344	-0.562	9.372
0.864	-0.529037	8.634369	-0.744873	8.682571	-0.295	8.955	-0.683	8.991
0.895	-0.488571	8.536774	-0.449707	8.562561	-0.472	8.715	-0.662	8.754
0.909	-0.564743	8.634369	-0.573486	8.671802	-0.524	8.611	-0.631	8.651
0.929	-0.662338	8.805756	-0.535400	8.846845	-0.561	8.653	-0.576	8.691
0.944	-0.448105	8.817657	-0.435425	8.839767	-0.541	8.699	-0.499	8.730
0.965	-0.267197	8.582001	-0.302124	8.591473	-0.486	8.710	-0.462	8.737
0.985	-0.033920	8.236847	-0.209290	8.239575	-0.353	8.611	-0.371	8.629
