2016-03-03 21:21:03	Start
2016-03-03 21:21:21	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.565032	9.548077	0.861913	9.603537	-0.565	9.548	0.862	9.604
0.007	-0.622492	9.442732	0.967257	9.512532	-0.579	9.522	0.888	9.581
0.022	-0.727837	9.442732	0.823605	9.506485	-0.620	9.495	0.879	9.557
0.050	-0.718261	9.519346	0.890643	9.587862	-0.658	9.488	0.886	9.553
0.063	-0.651223	9.548077	0.938527	9.616168	-0.680	9.488	0.905	9.556
0.081	-0.565032	9.500193	0.928950	9.562210	-0.666	9.503	0.895	9.568
0.104	-0.565032	9.471462	0.957681	9.536509	-0.625	9.510	0.929	9.576
0.121	-0.584185	9.442732	0.976834	9.511081	-0.591	9.491	0.950	9.556
0.140	-0.536301	9.414001	0.976834	9.479728	-0.563	9.457	0.960	9.522
0.170	-0.507571	9.423578	1.015141	9.491679	-0.548	9.438	0.982	9.505
0.180	-0.488417	9.404425	0.909797	9.460945	-0.529	9.421	0.970	9.486
0.201	-0.363919	9.299079	1.149217	9.376887	-0.474	9.385	1.013	9.452
0.220	-0.450110	9.414001	1.053449	9.483447	-0.453	9.385	1.032	9.453
0.237	-0.565032	9.519346	1.063026	9.595167	-0.467	9.409	1.044	9.479
0.257	-0.689530	9.548077	1.101333	9.636086	-0.517	9.445	1.092	9.523
0.278	-0.603339	9.461885	1.110910	9.545964	-0.577	9.486	1.082	9.565
0.297	-0.488417	9.279925	1.072602	9.354466	-0.587	9.452	1.087	9.533
0.316	-0.574608	9.222465	1.130063	9.309193	-0.589	9.378	1.104	9.461
0.339	-0.737414	9.346964	1.110910	9.441590	-0.601	9.328	1.106	9.413
0.359	-0.900220	9.442732	1.139640	9.553762	-0.675	9.323	1.113	9.415
0.374	-0.909797	9.404425	1.139640	9.516812	-0.781	9.354	1.130	9.455
0.394	-0.794875	9.337387	1.063026	9.431259	-0.836	9.383	1.113	9.486
0.416	-0.660800	9.212888	0.995988	9.290099	-0.816	9.349	1.085	9.448
0.432	-0.450110	9.165004	1.206678	9.255051	-0.704	9.280	1.101	9.373
0.456	-0.277727	9.069236	1.388637	9.179133	-0.546	9.196	1.164	9.289
0.475	-0.162806	8.848969	1.407791	8.961732	-0.388	9.074	1.250	9.172
0.493	-0.124498	8.868123	1.484405	8.992362	-0.254	8.988	1.372	9.097
0.511	-0.277727	9.184157	1.675941	9.339950	-0.211	8.993	1.489	9.118
0.529	-0.450110	9.662998	1.714248	9.824194	-0.254	9.141	1.571	9.280
0.550	-0.689530	9.662998	1.800440	9.853455	-0.385	9.345	1.669	9.502
0.571	-0.976834	9.777920	1.877054	10.004262	-0.599	9.572	1.767	9.755
0.590	-1.149217	9.883265	1.982399	10.145419	-0.816	9.747	1.844	9.957
0.609	-1.235408	9.777920	1.781286	10.015334	-1.013	9.776	1.860	10.005
0.629	-1.101333	9.471462	1.771709	9.698479	-1.116	9.728	1.853	9.966
0.652	-0.766145	9.126697	1.561020	9.290875	-1.063	9.565	1.774	9.788
0.668	-0.651223	9.059659	1.513135	9.208208	-0.939	9.359	1.657	9.553
0.688	-0.555455	9.078813	1.618480	9.238660	-0.769	9.184	1.616	9.359
0.706	-0.507571	9.174581	1.742979	9.352461	-0.620	9.110	1.609	9.273
0.727	-0.488417	9.356541	1.647211	9.512976	-0.551	9.167	1.630	9.328
0.745	-0.555455	9.289502	1.723825	9.464405	-0.527	9.225	1.683	9.392
0.764	-0.603339	9.136273	1.838747	9.338977	-0.539	9.239	1.738	9.417
0.785	-0.612916	8.992621	1.800440	9.191544	-0.565	9.194	1.753	9.377
0.805	-0.641646	9.145850	1.829170	9.349019	-0.603	9.141	1.798	9.336
0.825	-0.660800	9.193734	1.905785	9.412407	-0.630	9.117	1.844	9.323
0.847	-0.679953	9.145850	1.972822	9.380882	-0.649	9.120	1.877	9.333
0.864	-0.651223	8.983045	1.972822	9.220152	-0.658	9.117	1.920	9.341
0.886	-0.622492	9.107543	1.972822	9.339533	-0.654	9.108	1.956	9.338
0.901	-0.555455	9.088389	1.982399	9.318651	-0.627	9.081	1.975	9.315
